"index"	"accession"	"genome"	"assay_target_class"	"assay_target"	"biosample_type_class"	"biosample_type"	"treatment"	"mutation"	"strain"	"test_auc_roc"	"test_auc_prc"
2125	"SRX2762067"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9969	0.87
2126	"SRX2762068"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9962	0.8682
2127	"SRX2762071"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9761	0.4965
2128	"SRX2762082"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9841	0.5892
2129	"SRX2762088"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9754	0.5021
2130	"SRX2762099"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9813	0.5920000000000001
2131	"SRX2762107"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2a -/-"	"C57BL/6 x 129S4/SvJae"	0.9888	0.624
2132	"SRX2762109"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2a -/-"	"C57BL/6 x 129S4/SvJae"	0.9924	0.5986
2133	"SRX2762113"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9868	0.5487
2134	"SRX2762115"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9911	0.6363
2135	"SRX2762119"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2c -/-"	"C57BL/6 x 129S4/SvJae"	0.9901	0.6102
2136	"SRX2762122"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2c -/-"	"C57BL/6 x 129S4/SvJae"	0.9908	0.6162
2137	"SRX2762125"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d<SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.993	0.708
2138	"SRX2762133"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d<SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.9936	0.6895
2139	"SRX2762140"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9901	0.6577
2140	"SRX2762141"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9903	0.6773
2141	"SRX2762143"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9753	0.4797
2142	"SRX2762144"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9771	0.4894
2143	"SRX2762148"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9912	0.6763
2144	"SRX2762149"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9944	0.8403
2145	"SRX2762150"	"mm9"	"TFs and others"	"Kmt2b"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9964	0.8242
2146	"SRX2762151"	"mm9"	"TFs and others"	"Kmt2d"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9865	0.5461
2147	"SRX2762152"	"mm9"	"TFs and others"	"Setd1a"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9947	0.7888
2148	"SRX2762163"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9875	0.5771
2149	"SRX2762164"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9864	0.6032
2150	"SRX2762168"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9915	0.6773
2151	"SRX2762169"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9956	0.858
2152	"SRX2762170"	"mm9"	"TFs and others"	"Kmt2b"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9966	0.8269
2153	"SRX2762171"	"mm9"	"TFs and others"	"Kmt2d"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9861	0.5976
2154	"SRX2762172"	"mm9"	"TFs and others"	"Setd1a"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9926	0.7607
2155	"SRX2762178"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.966	0.47
2156	"SRX2762179"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9682	0.4587
2157	"SRX2762181"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9948	0.8449
2158	"SRX2762182"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9956	0.8531
2159	"SRX2762184"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9687	0.5196
2160	"SRX2762185"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9682	0.5097
2161	"SRX2762187"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.995	0.8468
2162	"SRX2762188"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9949	0.8486
2163	"SRX2762191"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9731	0.4823
2164	"SRX2762192"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9745	0.4683
2165	"SRX2762194"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9954	0.8481
2166	"SRX2762195"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9945	0.8411
2167	"SRX2762197"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9757	0.5507
2168	"SRX2762198"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9795	0.5641
2169	"SRX2762200"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9952	0.8541
2170	"SRX2762201"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9953	0.8601
2171	"SRX2762204"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9915	0.6647
2172	"SRX2762205"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9922	0.6928
2173	"SRX2763447"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (ES-R1 cell line)"	"None"	"None"	"129S1/Sv-Oca2<+> Tyr<+> Kitl<Sl-J>/J"	0.9981	0.8613
2174	"SRX2763448"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (ES-R1 cell line)"	"None"	"None"	"129S1/Sv-Oca2<+> Tyr<+> Kitl<Sl-J>/J"	0.9981	0.8539
2175	"SRX2763457"	"mm9"	"Histone"	"H3K4me3"	"Embryo"	"Epiblast"	"None"	"None"	"B6D2F1"	0.9986	0.8856
2176	"SRX2763458"	"mm9"	"Histone"	"H3K4me3"	"Embryo"	"Epiblast"	"None"	"None"	"B6D2F1"	0.9989	0.9025
2177	"SRX2763465"	"mm9"	"Histone"	"H3K4me3"	"Embryo"	"Extraembryonic ectoderm"	"None"	"None"	"B6D2F1"	0.9989	0.8991
2178	"SRX2766237"	"mm9"	"TFs and others"	"Rif1"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9872	0.4338
2179	"SRX2766383"	"mm9"	"TFs and others"	"Irf4"	"Blood"	"Regulatory T cells"	"None"	"None"	"C57BL/6"	0.9246	0.034
2180	"SRX276672"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"mESC derived neural cells"	"None"	"None"	"C57BL/6"	0.9982	0.7901
2181	"SRX277329"	"mm9"	"TFs and others"	"Cdk9"	"Blood"	"MEL (MEL-c88 cell line)"	"None"	"None"	"DBA/2"	0.9773	0.162
2182	"SRX2773918"	"mm9"	"TFs and others"	"Junb"	"Blood"	"Th17 cells"	"None"	"None"	"C57BL/6"	0.9359	0.14400000000000002
2183	"SRX2773920"	"mm9"	"TFs and others"	"Junb"	"Blood"	"Th17 cells"	"None"	"None"	"C57BL/6"	0.9383	0.185
2184	"SRX2773922"	"mm9"	"TFs and others"	"Jund"	"Blood"	"Th17 cells"	"None"	"None"	"C57BL/6"	0.9659	0.1702
2185	"SRX2773923"	"mm9"	"TFs and others"	"Jund"	"Blood"	"Th17 cells"	"None"	"None"	"C57BL/6"	0.9606	0.1735
2186	"SRX2773925"	"mm9"	"TFs and others"	"Jund"	"Blood"	"Th17 cells"	"None"	"None"	"C57BL/6"	0.9585	0.1363
2187	"SRX278525"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Hematopoietic stem cells"	"None"	"None"	"C57BL/6"	0.996	0.7934
2188	"SRX278527"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Hematopoietic stem cells"	"None"	"None"	"C57BL/6"	0.9959	0.7777
2189	"SRX2787719"	"mm9"	"Histone"	"H3K4me1"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129S/SvEv"	0.961	0.4189
2190	"SRX2787720"	"mm9"	"Histone"	"H3K4me1"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129S/SvEv"	0.9679	0.3817
2191	"SRX2787721"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129S/SvEv"	0.9852	0.6351
2192	"SRX2787722"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129S/SvEv"	0.9759	0.5667
2193	"SRX2787723"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129S/SvEv"	0.9895	0.711
2194	"SRX2787724"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129S/SvEv"	0.9814	0.5879
2195	"SRX2793941"	"mm9"	"TFs and others"	"Cdk8"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Fbxl19 fl/fl"	"B6;129-Gt(ROSA)26Sor<tm2(cre/ERT2)Brn>"	0.9845	0.268
2196	"SRX2793944"	"mm9"	"TFs and others"	"Cdk8"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Fbxl19 fl/fl"	"B6;129-Gt(ROSA)26Sor<tm2(cre/ERT2)Brn>"	0.9865	0.2522
2197	"SRX2793945"	"mm9"	"TFs and others"	"Cdk8"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Fbxl19 fl/fl"	"B6;129-Gt(ROSA)26Sor<tm2(cre/ERT2)Brn>"	0.9838	0.2299
2198	"SRX2795383"	"mm9"	"Histone"	"H3K9ac"	"Neural"	"Striatal progenitor cells"	"None"	"Htt<tm5Mem>"	"C57BL/6"	0.9953	0.8002
2199	"SRX2795385"	"mm9"	"Histone"	"H3K9ac"	"Neural"	"Striatal progenitor cells"	"4-Deoxypyridoxine"	"Htt<tm5Mem>"	"C57BL/6"	0.9938	0.7804
2200	"SRX282665"	"mm9"	"TFs and others"	"Tal1"	"Pluripotent stem cell"	"mESC derived mesodermal cells (J1 cell line)"	"None"	"None"	"129S4/SvJae"	0.9117	0.0231
2201	"SRX2830633"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Setd1a <SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.986	0.6878
2202	"SRX2830635"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Setd1a <SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.9964	0.8587
2203	"SRX2830637"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Setd1a <SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.9766	0.6235
2204	"SRX2830638"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Setd1a <SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.9793	0.6248
2205	"SRX2830641"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Setd1a <SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.9991	0.8922
2206	"SRX2830642"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Setd1a <SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.9992	0.9012
2207	"SRX2830655"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9808	0.6482
2208	"SRX2830656"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9858	0.6398
2209	"SRX2830657"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9940000000000001	0.8357
2210	"SRX2830658"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9977	0.855
2211	"SRX2830660"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9957	0.8597
2212	"SRX2830661"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9797	0.6307
2213	"SRX2830663"	"mm9"	"TFs and others"	"Setd1a"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.998	0.7742
2214	"SRX2830667"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9990000000000001	0.9079999999999999
2215	"SRX2830668"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9990000000000001	0.9062
2216	"SRX2831890"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9789	0.5283
2217	"SRX2831893"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9931	0.7301
2218	"SRX2831894"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9929	0.7284
2219	"SRX2831895"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9959	0.8631
2220	"SRX2831896"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9712	0.4778
2221	"SRX2831897"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9722	0.4998
2222	"SRX2831907"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.977	0.4954
2223	"SRX2831908"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9737	0.5142
2224	"SRX2831913"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9833	0.6068
2225	"SRX2831915"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9957	0.7344
2226	"SRX2831916"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9978	0.8942
2227	"SRX2831917"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9755	0.5423
2228	"SRX2831926"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9811	0.5894
2229	"SRX2831930"	"mm9"	"TFs and others"	"Kmt2d"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9935	0.5404
2230	"SRX2831931"	"mm9"	"TFs and others"	"Kmt2d"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9946	0.3928
2231	"SRX2831932"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.977	0.5157
2232	"SRX2831935"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9912	0.7153
2233	"SRX2831936"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9886	0.6982
2234	"SRX2831937"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9951	0.8398
2235	"SRX2831943"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9832	0.595
2236	"SRX2831945"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9958	0.7417
2237	"SRX2831946"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9977	0.8933
2238	"SRX2831952"	"mm9"	"TFs and others"	"Kmt2d"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.9915	0.5123
2239	"SRX2831953"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d<SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.9758	0.4921
2240	"SRX2831956"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d<SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.9914	0.7083
2241	"SRX2831957"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d<SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.9894	0.6955
2242	"SRX2831958"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d<SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.9954	0.8547
2243	"SRX2831964"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d<SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.9822	0.6082
2244	"SRX2831966"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d<SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.9972	0.7629
2245	"SRX2831967"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d<SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.9976	0.8968
2246	"SRX2831973"	"mm9"	"TFs and others"	"Kmt2d"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d<SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.9926	0.4652
2247	"SRX2831974"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9751	0.4741
2248	"SRX2831977"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9925	0.6421
2249	"SRX2831978"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9912	0.6343
2250	"SRX2831979"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9962	0.8602
2251	"SRX2831986"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9844	0.6145
2252	"SRX2831988"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9952	0.7263
2253	"SRX2831989"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9972	0.8825
2254	"SRX2831996"	"mm9"	"TFs and others"	"Kdm1a"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9706	0.3334
